dataset,dataset_kind,ablation,model,status,n_nodes,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,attr_only,ExtraTrees,ok,3783,1,3026,757,383,307,76,0.5597038269042969,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__attr_only__ExtraTrees.json,0.5,0.10039630118890357,76,7,0.09210526315789473,0.09210526315789473,1.0,7,1,0.14285714285714285,0.013157894736842105,1.0,37,4,0.10810810810810811,0.05263157894736842,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,attr_only,GradientBoosting,ok,3783,1,3026,757,383,307,76,0.15483903884887695,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__attr_only__GradientBoosting.json,0.5,0.10039630118890357,76,7,0.09210526315789473,0.09210526315789473,1.0,7,1,0.14285714285714285,0.013157894736842105,1.0,37,4,0.10810810810810811,0.05263157894736842,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,attr_only,IsolationForest,ok,3783,1,3026,757,383,307,76,0.6432456970214844,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__attr_only__IsolationForest.json,0.5,0.10039630118890357,76,7,0.09210526315789473,0.09210526315789473,1.0,7,1,0.14285714285714285,0.013157894736842105,1.0,37,4,0.10810810810810811,0.05263157894736842,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,attr_only,LogisticRegression,ok,3783,1,3026,757,383,307,76,0.2788083553314209,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__attr_only__LogisticRegression.json,0.5,0.10039630118890357,76,7,0.09210526315789473,0.09210526315789473,1.0,7,1,0.14285714285714285,0.013157894736842105,1.0,37,4,0.10810810810810811,0.05263157894736842,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,attr_only,RandomForest,ok,3783,1,3026,757,383,307,76,3.158541679382324,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__attr_only__RandomForest.json,0.5,0.10039630118890357,76,7,0.09210526315789473,0.09210526315789473,1.0,7,1,0.14285714285714285,0.013157894736842105,1.0,37,4,0.10810810810810811,0.05263157894736842,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,degree_only,ExtraTrees,ok,3783,9,3026,757,383,307,76,0.6519136428833008,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__degree_only__ExtraTrees.json,0.8187456526779504,0.45714683145388707,76,33,0.4342105263157895,0.4342105263157895,1.0,7,7,1.0,0.09210526315789473,1.0,37,19,0.5135135135135135,0.25,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,degree_only,GradientBoosting,ok,3783,9,3026,757,383,307,76,0.7890443801879883,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__degree_only__GradientBoosting.json,0.8318069402581343,0.4826378372606404,76,31,0.40789473684210525,0.40789473684210525,1.0,7,7,1.0,0.09210526315789473,1.0,37,23,0.6216216216216216,0.3026315789473684,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,degree_only,IsolationForest,ok,3783,9,3026,757,383,307,76,0.6722691059112549,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__degree_only__IsolationForest.json,0.6757670608238658,0.20579109845330407,76,13,0.17105263157894737,0.17105263157894737,1.0,7,4,0.5714285714285714,0.05263157894736842,1.0,37,11,0.2972972972972973,0.14473684210526316,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,degree_only,LogisticRegression,ok,3783,9,3026,757,383,307,76,0.04467439651489258,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__degree_only__LogisticRegression.json,0.8278267254038179,0.3905998956868585,76,34,0.4473684210526316,0.4473684210526316,1.0,7,4,0.5714285714285714,0.05263157894736842,1.0,37,21,0.5675675675675675,0.27631578947368424,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,degree_only,RandomForest,ok,3783,9,3026,757,383,307,76,1.1944329738616943,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__degree_only__RandomForest.json,0.8141954555993508,0.43997316644081136,76,32,0.42105263157894735,0.42105263157894735,1.0,7,6,0.8571428571428571,0.07894736842105263,1.0,37,22,0.5945945945945946,0.2894736842105263,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,full,ExtraTrees,ok,3783,21,3026,757,383,307,76,0.6668787002563477,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__full__ExtraTrees.json,0.9999613571373368,0.9996626180836707,76,75,0.9868421052631579,0.9868421052631579,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,full,GradientBoosting,ok,3783,21,3026,757,383,307,76,0.8477625846862793,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__full__GradientBoosting.json,1.0,1.0,76,76,1.0,1.0,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,full,IsolationForest,ok,3783,21,3026,757,383,307,76,0.6901736259460449,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__full__IsolationForest.json,0.92628873946982,0.49589324394849743,76,40,0.5263157894736842,0.5263157894736842,1.0,7,5,0.7142857142857143,0.06578947368421052,1.0,37,18,0.4864864864864865,0.23684210526315788,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,full,LogisticRegression,ok,3783,21,3026,757,383,307,76,0.03328824043273926,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__full__LogisticRegression.json,0.9998840714120102,0.9989559947715566,76,75,0.9868421052631579,0.9868421052631579,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,full,RandomForest,ok,3783,21,3026,757,383,307,76,1.2406017780303955,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__full__RandomForest.json,1.0,1.0,76,76,1.0,1.0,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,no_degree_struct,ExtraTrees,ok,3783,12,3026,757,383,307,76,0.5963301658630371,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__no_degree_struct__ExtraTrees.json,1.0,0.9999999999999999,76,76,1.0,1.0,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,no_degree_struct,GradientBoosting,ok,3783,12,3026,757,383,307,76,0.4204525947570801,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__no_degree_struct__GradientBoosting.json,1.0,1.0,76,76,1.0,1.0,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,no_degree_struct,IsolationForest,ok,3783,12,3026,757,383,307,76,0.6345882415771484,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__no_degree_struct__IsolationForest.json,0.957145065306438,0.5989436386772949,76,47,0.618421052631579,0.618421052631579,1.0,7,5,0.7142857142857143,0.06578947368421052,1.0,37,21,0.5675675675675675,0.27631578947368424,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,no_degree_struct,LogisticRegression,ok,3783,12,3026,757,383,307,76,0.0449070930480957,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__no_degree_struct__LogisticRegression.json,0.9992271427467347,0.9912456705657786,76,74,0.9736842105263158,0.9736842105263158,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,no_degree_struct,RandomForest,ok,3783,12,3026,757,383,307,76,1.1934595108032227,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__no_degree_struct__RandomForest.json,1.0,1.0,76,76,1.0,1.0,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,struct_only,ExtraTrees,ok,3783,21,3026,757,383,307,76,0.706341028213501,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__struct_only__ExtraTrees.json,0.9999613571373368,0.9996626180836707,76,75,0.9868421052631579,0.9868421052631579,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,struct_only,GradientBoosting,ok,3783,21,3026,757,383,307,76,1.0187923908233643,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__struct_only__GradientBoosting.json,1.0,1.0,76,76,1.0,1.0,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,struct_only,IsolationForest,ok,3783,21,3026,757,383,307,76,0.705078125,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__struct_only__IsolationForest.json,0.92628873946982,0.49589324394849743,76,40,0.5263157894736842,0.5263157894736842,1.0,7,5,0.7142857142857143,0.06578947368421052,1.0,37,18,0.4864864864864865,0.23684210526315788,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,struct_only,LogisticRegression,ok,3783,21,3026,757,383,307,76,0.13413000106811523,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__struct_only__LogisticRegression.json,0.9998840714120102,0.9989559947715566,76,75,0.9868421052631579,0.9868421052631579,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
