expected_stage,actual_stage,dataset,group,contamination,expected_json,json_exists,status,n_features,n_rows,n_devices,runtime_sec,ranked_csv_exists,top_csv_exists,device_csv_exists,ranked_csv,top_csv,device_csv,error
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,all_numeric,0.01,agg__agg_kkt_47_11_all_numeric_contam_0.01.json,True,ok,150,34443,,21.924367427825928,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,all_numeric,0.03,agg__agg_kkt_47_11_all_numeric_contam_0.03.json,True,ok,150,34443,,18.555602073669434,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,all_numeric,0.05,agg__agg_kkt_47_11_all_numeric_contam_0.05.json,True,ok,150,34443,,19.88470149040222,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,turnover,0.01,agg__agg_kkt_47_11_turnover_contam_0.01.json,True,ok,107,34443,,20.26685619354248,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,turnover,0.03,agg__agg_kkt_47_11_turnover_contam_0.03.json,True,ok,107,34443,,18.288036108016968,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,turnover,0.05,agg__agg_kkt_47_11_turnover_contam_0.05.json,True,ok,107,34443,,17.53811001777649,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,bills,0.01,agg__agg_kkt_47_11_bills_contam_0.01.json,True,ok,11,34443,,24.62763214111328,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,bills,0.03,agg__agg_kkt_47_11_bills_contam_0.03.json,True,ok,11,34443,,26.645548820495605,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,bills,0.05,agg__agg_kkt_47_11_bills_contam_0.05.json,True,ok,11,34443,,26.97125005722046,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,items_price,0.01,agg__agg_kkt_47_11_items_price_contam_0.01.json,True,ok,8,34443,,28.087613821029663,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,items_price,0.03,agg__agg_kkt_47_11_items_price_contam_0.03.json,True,ok,8,34443,,27.954680681228638,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,items_price,0.05,agg__agg_kkt_47_11_items_price_contam_0.05.json,True,ok,8,34443,,25.60054874420166,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,payment_mix,0.01,agg__agg_kkt_47_11_payment_mix_contam_0.01.json,True,ok,22,34443,,16.983002185821533,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,payment_mix,0.03,agg__agg_kkt_47_11_payment_mix_contam_0.03.json,True,ok,22,34443,,17.343998908996582,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,payment_mix,0.05,agg__agg_kkt_47_11_payment_mix_contam_0.05.json,True,ok,22,34443,,17.447999715805054,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,temporal,0.01,agg__agg_kkt_47_11_temporal_contam_0.01.json,True,ok,38,34443,,22.274471759796143,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_temporal_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_temporal_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,temporal,0.03,agg__agg_kkt_47_11_temporal_contam_0.03.json,True,ok,38,34443,,22.1032931804657,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_temporal_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_temporal_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,temporal,0.05,agg__agg_kkt_47_11_temporal_contam_0.05.json,True,ok,38,34443,,20.402103185653687,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_temporal_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_temporal_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,benford,0.01,agg__agg_kkt_47_11_benford_contam_0.01.json,True,ok,1,34443,,12.57786250114441,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,benford,0.03,agg__agg_kkt_47_11_benford_contam_0.03.json,True,ok,1,34443,,11.839292049407959,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,benford,0.05,agg__agg_kkt_47_11_benford_contam_0.05.json,True,ok,1,34443,,12.089233875274658,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_benford_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,cross_corr,0.01,agg__agg_kkt_47_11_cross_corr_contam_0.01.json,True,ok,14,34443,,30.18132972717285,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,cross_corr,0.03,agg__agg_kkt_47_11_cross_corr_contam_0.03.json,True,ok,14,34443,,26.989867210388184,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,cross_corr,0.05,agg__agg_kkt_47_11_cross_corr_contam_0.05.json,True,ok,14,34443,,25.763094663619995,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,shape_complexity,0.01,agg__agg_kkt_47_11_shape_complexity_contam_0.01.json,True,ok,36,34443,,38.79410099983215,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_shape_complexity_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_shape_complexity_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,shape_complexity,0.03,agg__agg_kkt_47_11_shape_complexity_contam_0.03.json,True,ok,36,34443,,46.612454891204834,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_shape_complexity_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_shape_complexity_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,shape_complexity,0.05,agg__agg_kkt_47_11_shape_complexity_contam_0.05.json,True,ok,36,34443,,48.55659818649292,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_shape_complexity_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_shape_complexity_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,non_temporal,0.01,agg__agg_kkt_47_11_non_temporal_contam_0.01.json,True,ok,150,34443,,18.72800326347351,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,non_temporal,0.03,agg__agg_kkt_47_11_non_temporal_contam_0.03.json,True,ok,150,34443,,16.57300090789795,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,non_temporal,0.05,agg__agg_kkt_47_11_non_temporal_contam_0.05.json,True,ok,150,34443,,16.777996063232422,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,simple_core,0.01,agg__agg_kkt_47_11_simple_core_contam_0.01.json,True,ok,138,34443,,17.938002347946167,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,simple_core,0.03,agg__agg_kkt_47_11_simple_core_contam_0.03.json,True,ok,138,34443,,16.599002361297607,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_11,simple_core,0.05,agg__agg_kkt_47_11_simple_core_contam_0.05.json,True,ok,138,34443,,16.401012182235718,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,all_numeric,0.01,agg__agg_kkt_47_19_all_numeric_contam_0.01.json,True,ok,150,15491,,7.052000999450684,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,all_numeric,0.03,agg__agg_kkt_47_19_all_numeric_contam_0.03.json,True,ok,150,15491,,7.185003995895386,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,all_numeric,0.05,agg__agg_kkt_47_19_all_numeric_contam_0.05.json,True,ok,150,15491,,9.373003005981445,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,turnover,0.01,agg__agg_kkt_47_19_turnover_contam_0.01.json,True,ok,107,15491,,6.84699273109436,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.01__top_anomalies.csv,,
