stage,dataset,contamination,group,mean_jaccard,max_jaccard,min_jaccard,mean_intersection,n_rows
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_11,0.01,non_temporal,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_11,0.01,simple_core,0.4440433212996389,0.4440433212996389,0.4440433212996389,123.0,1
agg_kkt_level,agg_kkt_47_11,0.01,turnover,0.3422818791946309,0.3422818791946309,0.3422818791946309,102.0,1
agg_kkt_level,agg_kkt_47_11,0.01,items_price,0.1834319526627219,0.1834319526627219,0.1834319526627219,62.0,1
agg_kkt_level,agg_kkt_47_11,0.01,payment_mix,0.1299435028248587,0.1299435028248587,0.1299435028248587,46.0,1
agg_kkt_level,agg_kkt_47_11,0.01,bills,0.0498687664041994,0.0498687664041994,0.0498687664041994,19.0,1
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_11,0.03,non_temporal,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_11,0.03,simple_core,0.4440433212996389,0.4440433212996389,0.4440433212996389,123.0,1
agg_kkt_level,agg_kkt_47_11,0.03,turnover,0.3422818791946309,0.3422818791946309,0.3422818791946309,102.0,1
agg_kkt_level,agg_kkt_47_11,0.03,items_price,0.1834319526627219,0.1834319526627219,0.1834319526627219,62.0,1
agg_kkt_level,agg_kkt_47_11,0.03,payment_mix,0.1299435028248587,0.1299435028248587,0.1299435028248587,46.0,1
agg_kkt_level,agg_kkt_47_11,0.03,bills,0.0498687664041994,0.0498687664041994,0.0498687664041994,19.0,1
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_11,0.05,non_temporal,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_11,0.05,simple_core,0.4440433212996389,0.4440433212996389,0.4440433212996389,123.0,1
agg_kkt_level,agg_kkt_47_11,0.05,turnover,0.3422818791946309,0.3422818791946309,0.3422818791946309,102.0,1
agg_kkt_level,agg_kkt_47_11,0.05,items_price,0.1834319526627219,0.1834319526627219,0.1834319526627219,62.0,1
agg_kkt_level,agg_kkt_47_11,0.05,payment_mix,0.1299435028248587,0.1299435028248587,0.1299435028248587,46.0,1
agg_kkt_level,agg_kkt_47_11,0.05,bills,0.0498687664041994,0.0498687664041994,0.0498687664041994,19.0,1
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,1.0,1.0,1.0,154.0,1
agg_kkt_level,agg_kkt_47_19,0.01,non_temporal,1.0,1.0,1.0,154.0,1
agg_kkt_level,agg_kkt_47_19,0.01,simple_core,0.8224852071005917,0.8224852071005917,0.8224852071005917,139.0,1
agg_kkt_level,agg_kkt_47_19,0.01,turnover,0.6470588235294118,0.6470588235294118,0.6470588235294118,121.0,1
agg_kkt_level,agg_kkt_47_19,0.01,payment_mix,0.5477386934673367,0.5477386934673367,0.5477386934673367,109.0,1
agg_kkt_level,agg_kkt_47_19,0.01,items_price,0.3873873873873873,0.3873873873873873,0.3873873873873873,86.0,1
agg_kkt_level,agg_kkt_47_19,0.01,bills,0.0198675496688741,0.0198675496688741,0.0198675496688741,6.0,1
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_19,0.03,non_temporal,1.0,1.0,1.0,200.0,1
agg_kkt_level,agg_kkt_47_19,0.03,simple_core,0.8099547511312217,0.8099547511312217,0.8099547511312217,179.0,1
agg_kkt_level,agg_kkt_47_19,0.03,turnover,0.6597510373443983,0.6597510373443983,0.6597510373443983,159.0,1
agg_kkt_level,agg_kkt_47_19,0.03,payment_mix,0.5686274509803921,0.5686274509803921,0.5686274509803921,145.0,1
