expected_stage,dataset,group,n_runs,min_contamination,max_contamination,n_features,n_rows,n_devices,total_runtime_sec,mean_runtime_sec,ranked_csv_all_exist,top_csv_all_exist,device_csv_any_exist
agg_kkt_level,agg_kkt_47_11,all_numeric,3,0.01,0.05,150,34443,,60.36467099189758,20.121556997299194,True,True,False
agg_kkt_level,agg_kkt_47_11,benford,3,0.01,0.05,1,34443,,36.506388425827026,12.168796141942343,True,True,False
agg_kkt_level,agg_kkt_47_11,bills,3,0.01,0.05,11,34443,,78.24443101882935,26.081477006276447,True,True,False
agg_kkt_level,agg_kkt_47_11,cross_corr,3,0.01,0.05,14,34443,,82.93429160118103,27.644763867060345,True,True,False
agg_kkt_level,agg_kkt_47_11,items_price,3,0.01,0.05,8,34443,,81.64284324645996,27.21428108215332,True,True,False
agg_kkt_level,agg_kkt_47_11,non_temporal,3,0.01,0.05,150,34443,,52.07900023460388,17.359666744867962,True,True,False
agg_kkt_level,agg_kkt_47_11,payment_mix,3,0.01,0.05,22,34443,,51.77500081062317,17.258333603541057,True,True,False
agg_kkt_level,agg_kkt_47_11,shape_complexity,3,0.01,0.05,36,34443,,133.9631540775299,44.65438469250997,True,True,False
agg_kkt_level,agg_kkt_47_11,simple_core,3,0.01,0.05,138,34443,,50.93801689147949,16.979338963826496,True,True,False
agg_kkt_level,agg_kkt_47_11,temporal,3,0.01,0.05,38,34443,,64.77986812591553,21.593289375305176,True,True,False
agg_kkt_level,agg_kkt_47_11,turnover,3,0.01,0.05,107,34443,,56.09300231933594,18.697667439778645,True,True,False
agg_kkt_level,agg_kkt_47_19,all_numeric,3,0.01,0.05,150,15491,,23.610008001327515,7.870002667109172,True,True,False
agg_kkt_level,agg_kkt_47_19,benford,3,0.01,0.05,1,15491,,20.785121202468872,6.928373734156291,True,True,False
agg_kkt_level,agg_kkt_47_19,bills,3,0.01,0.05,11,15491,,34.694002866744995,11.564667622248331,True,True,False
agg_kkt_level,agg_kkt_47_19,cross_corr,3,0.01,0.05,14,15491,,42.04913330078125,14.016377766927084,True,True,False
agg_kkt_level,agg_kkt_47_19,items_price,3,0.01,0.05,8,15491,,43.28199863433838,14.427332878112793,True,True,False
agg_kkt_level,agg_kkt_47_19,non_temporal,3,0.01,0.05,150,15491,,21.291999578475952,7.097333192825317,True,True,False
agg_kkt_level,agg_kkt_47_19,payment_mix,3,0.01,0.05,22,15491,,26.155000925064087,8.718333641688028,True,True,False
agg_kkt_level,agg_kkt_47_19,shape_complexity,3,0.01,0.05,36,15491,,81.2970564365387,27.099018812179565,True,True,False
agg_kkt_level,agg_kkt_47_19,simple_core,3,0.01,0.05,138,15491,,21.202019929885864,7.067339976628621,True,True,False
agg_kkt_level,agg_kkt_47_19,temporal,3,0.01,0.05,38,15491,,42.466840744018555,14.155613581339518,True,True,False
agg_kkt_level,agg_kkt_47_19,turnover,3,0.01,0.05,107,15491,,20.900994062423706,6.966998020807902,True,True,False
ts_kkt_day_level,ts_kkt_47_11,all_numeric,3,0.01,0.05,87,3168756,34443.0,1586.6393916606903,528.8797972202301,True,True,True
ts_kkt_day_level,ts_kkt_47_11,bills_items,3,0.01,0.05,29,3168756,34443.0,927.3269965648651,309.108998854955,True,True,True
ts_kkt_day_level,ts_kkt_47_11,core_daily,3,0.01,0.05,18,3168756,34443.0,882.0831530094147,294.0277176698049,True,True,True
ts_kkt_day_level,ts_kkt_47_11,payment_mix,3,0.01,0.05,20,3168756,34443.0,911.3800015449524,303.79333384831745,True,True,True
ts_kkt_day_level,ts_kkt_47_11,peer_deviation,3,0.01,0.05,6,3168756,34443.0,856.9810030460358,285.6603343486786,True,True,True
ts_kkt_day_level,ts_kkt_47_11,rolling_deviation,3,0.01,0.05,48,3168756,34443.0,1050.1390340328217,350.04634467760724,True,True,True
ts_kkt_day_level,ts_kkt_47_11,turnover,3,0.01,0.05,42,3168756,34443.0,1016.5960040092468,338.86533466974896,True,True,True
ts_kkt_day_level,ts_kkt_47_19,all_numeric,3,0.01,0.05,87,1425172,15491.0,511.4999988079071,170.4999996026357,True,True,True
ts_kkt_day_level,ts_kkt_47_19,bills_items,3,0.01,0.05,29,1425172,15491.0,412.2259991168976,137.4086663722992,True,True,True
ts_kkt_day_level,ts_kkt_47_19,core_daily,3,0.01,0.05,18,1425172,15491.0,380.45697355270386,126.81899118423462,True,True,True
ts_kkt_day_level,ts_kkt_47_19,payment_mix,3,0.01,0.05,20,1425172,15491.0,408.0380051136017,136.01266837120056,True,True,True
ts_kkt_day_level,ts_kkt_47_19,peer_deviation,3,0.01,0.05,6,1425172,15491.0,379.1310148239136,126.37700494130452,True,True,True
ts_kkt_day_level,ts_kkt_47_19,rolling_deviation,3,0.01,0.05,48,1425172,15491.0,417.8260018825531,139.27533396085104,True,True,True
ts_kkt_day_level,ts_kkt_47_19,turnover,3,0.01,0.05,42,1425172,15491.0,427.72499799728394,142.57499933242798,True,True,True
