final_rank,kkt_id,final_kkt_anomaly_score,best_score,mean_score,ts_final_score,ts_total_anomaly_days,ts_total_days,explanation
1,800065ec054bba34d4ef073e09e77af8,1.0,1.0,1.0,1.0,1264,92,"min_sum__minimum=799.00; total_sum__minimum=227.83; total_sum__fft_coefficient__attr_""abs""__coeff_1=95.05; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=62.34; total_items__standard_deviation=59.32; total_items__mean=49.96; total_ecash__standard_deviation=47.33; n_items__standard_deviation=46.76; total_sum__fft_coefficient__attr_""abs""__coeff_2=42.83; total_sum__standard_deviation=40.76 || min_sum__minimum=799.00; total_sum__minimum=227.83; total_sum__fft_coefficient__attr_""abs""__coeff_1=95.05; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=62.34; total_items__standard_deviation=59.32; total_items__mean=49.96; total_ecash__standard_deviation=47.33; n_items__standard_deviation=46.76; total_sum__fft_coefficient__attr_""abs""__coeff_2=42.83; total_sum__standard_deviation=40.76 || min_sum__minimum=799.00; total_sum__minimum=227.83; total_sum__fft_coefficient__attr_""abs""__coeff_1=95.05; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=62.34; total_items__standard_deviation=59.32; total_items__mean=49.96; total_ecash__standard_deviation=47.33; n_items__standard_deviation=46.76; total_sum__fft_coefficient__attr_""abs""__coeff_2=42.83; total_sum__standard_deviation=40.76"
2,69ca5dcd89e9ef68ec5142a3529fabaf,1.0,1.0,1.0,1.0,779,92,"min_sum__fft_coefficient__attr_""abs""__coeff_1=697.81; min_sum__mean=543.76; min_sum__standard_deviation=360.61; median_sum__standard_deviation=144.69; min_sum__maximum=132.79; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=128.67; avg_sum__standard_deviation=107.64; median_sum__mean=98.54; avg_sum__mean=65.34; max_sum__fft_coefficient__attr_""abs""__coeff_1=22.00 || min_sum__fft_coefficient__attr_""abs""__coeff_1=697.81; min_sum__mean=543.76; min_sum__standard_deviation=360.61; median_sum__standard_deviation=144.69; min_sum__maximum=132.79; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=128.67; avg_sum__standard_deviation=107.64; median_sum__mean=98.54; avg_sum__mean=65.34; max_sum__fft_coefficient__attr_""abs""__coeff_1=22.00 || min_sum__fft_coefficient__attr_""abs""__coeff_1=697.81; min_sum__mean=543.76; min_sum__standard_deviation=360.61; median_sum__standard_deviation=144.69; min_sum__maximum=132.79; median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""=128.67; avg_sum__standard_deviation=107.64; median_sum__mean=98.54; avg_sum__mean=65.34; max_sum__fft_coefficient__attr_""abs""__coeff_1=22.00"
3,99399be9dc9b613d22e98abd058f1b0a,1.0,1.0,1.0,1.0,1145,92,total_cash__standard_deviation=26.70; total_cash__sum_values=13.87; avg_ecash__standard_deviation=7.41; ecash_fraction__maximum=-6.39; ecash_fraction__skewness=5.35; ecash_fraction__longest_strike_below_mean=4.40; ecash_fraction__value_count__value_0=1.34; ecash_fraction__count_below__t_0.01=1.32; ecash_fraction__mean=-1.13; ecash_fraction__median=-0.77 || total_cash__standard_deviation=26.70; total_cash__sum_values=13.87; avg_ecash__standard_deviation=7.41; ecash_fraction__maximum=-6.39; ecash_fraction__skewness=5.35; ecash_fraction__longest_strike_below_mean=4.40; ecash_fraction__value_count__value_0=1.34; ecash_fraction__count_below__t_0.01=1.32; ecash_fraction__mean=-1.13; ecash_fraction__median=-0.77 || total_cash__standard_deviation=26.70; total_cash__sum_values=13.87; avg_ecash__standard_deviation=7.41; ecash_fraction__maximum=-6.39; ecash_fraction__skewness=5.35; ecash_fraction__longest_strike_below_mean=4.40; ecash_fraction__value_count__value_0=1.34; ecash_fraction__count_below__t_0.01=1.32; ecash_fraction__mean=-1.13; ecash_fraction__median=-0.77
4,4eeb3e43020e0bc7b8f9041b143ce9a3,1.0,1.0,1.0,0.9475637145421432,802,92,total_sum__minimum=157.76; total_items__mean=21.29; total_cash__sum_values=13.32; total_sum__median=10.39; total_sum__sum_values=10.15; total_sum__mean=10.15; total_ecash__sum_values=9.21; avg_price_item__mean=8.69; min_sum__cid_ce__normalize_True=-6.77; max_sum__minimum=6.31 || total_sum__minimum=157.76; total_items__mean=21.29; total_cash__sum_values=13.32; total_sum__median=10.39; total_sum__sum_values=10.15; total_sum__mean=10.15; total_ecash__sum_values=9.21; avg_price_item__mean=8.69; min_sum__cid_ce__normalize_True=-6.77; max_sum__minimum=6.31 || total_sum__minimum=157.76; total_items__mean=21.29; total_cash__sum_values=13.32; total_sum__median=10.39; total_sum__sum_values=10.15; total_sum__mean=10.15; total_ecash__sum_values=9.21; avg_price_item__mean=8.69; min_sum__cid_ce__normalize_True=-6.77; max_sum__minimum=6.31
5,c55bd5d73bee168680fe8cfa36ea7bd1,1.0,1.0,1.0,1.0,776,92,avg_ecash__standard_deviation=91.29; avg_ecash__mean=41.33; ecash_fraction__skewness=-2.16; ecash_fraction__longest_strike_above_mean=0.93; ecash_fraction__minimum=0.78; ecash_fraction__count_above__t_0.99=0.65; ecash_fraction__value_count__value_1=0.51; ecash_fraction__mean=0.38; avg_cash__avg_ecash__corr=-0.34; ecash_fraction__cid_ce__normalize_True=0.23 || avg_ecash__standard_deviation=91.29; avg_ecash__mean=41.33; ecash_fraction__skewness=-2.16; ecash_fraction__longest_strike_above_mean=0.93; ecash_fraction__minimum=0.78; ecash_fraction__count_above__t_0.99=0.65; ecash_fraction__value_count__value_1=0.51; ecash_fraction__mean=0.38; avg_cash__avg_ecash__corr=-0.34; ecash_fraction__cid_ce__normalize_True=0.23 || avg_ecash__standard_deviation=91.29; avg_ecash__mean=41.33; ecash_fraction__skewness=-2.16; ecash_fraction__longest_strike_above_mean=0.93; ecash_fraction__minimum=0.78; ecash_fraction__count_above__t_0.99=0.65; ecash_fraction__value_count__value_1=0.51; ecash_fraction__mean=0.38; avg_cash__avg_ecash__corr=-0.34; ecash_fraction__cid_ce__normalize_True=0.23
6,1359596eeb694f953a6d74bac874ec72,1.0,1.0,1.0,0.9996169233313008,1329,92,total_items__mean=402.93; total_items__standard_deviation=332.77; total_sum__minimum=42.17; avg_price_item__mean=35.08; max_sum__minimum=24.35; avg_ecash__mean=19.50; avg_ecash__standard_deviation=18.85; n_kkt_id=18.62; max_sum__mean=12.51; min_sum__mean=12.09 || total_items__mean=402.93; total_items__standard_deviation=332.77; total_sum__minimum=42.17; avg_price_item__mean=35.08; max_sum__minimum=24.35; avg_ecash__mean=19.50; avg_ecash__standard_deviation=18.85; n_kkt_id=18.62; max_sum__mean=12.51; min_sum__mean=12.09 || total_items__mean=402.93; total_items__standard_deviation=332.77; total_sum__minimum=42.17; avg_price_item__mean=35.08; max_sum__minimum=24.35; avg_ecash__mean=19.50; avg_ecash__standard_deviation=18.85; n_kkt_id=18.62; max_sum__mean=12.51; min_sum__mean=12.09
7,5eabba71423bee80759211c9788e5aec,1.0,1.0,1.0,1.0,1346,92,"min_sum__minimum=100.00; total_sum__minimum=51.42; max_sum__minimum=43.47; total_sum__fft_coefficient__attr_""abs""__coeff_2=24.01; max_sum__mean=23.72; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=21.09; std_sum__mean=20.74; total_sum__fft_coefficient__attr_""abs""__coeff_1=18.81; max_sum__maximum=18.71; max_sum__standard_deviation=18.62 || min_sum__minimum=100.00; total_sum__minimum=51.42; max_sum__minimum=43.47; total_sum__fft_coefficient__attr_""abs""__coeff_2=24.01; max_sum__mean=23.72; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=21.09; std_sum__mean=20.74; total_sum__fft_coefficient__attr_""abs""__coeff_1=18.81; max_sum__maximum=18.71; max_sum__standard_deviation=18.62 || min_sum__minimum=100.00; total_sum__minimum=51.42; max_sum__minimum=43.47; total_sum__fft_coefficient__attr_""abs""__coeff_2=24.01; max_sum__mean=23.72; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=21.09; std_sum__mean=20.74; total_sum__fft_coefficient__attr_""abs""__coeff_1=18.81; max_sum__maximum=18.71; max_sum__standard_deviation=18.62"
8,232c261b388bed48a4204d536a80ccbf,1.0,1.0,1.0,0.995231940886494,1018,92,"max_sum__fft_coefficient__attr_""abs""__coeff_1=70.75; total_sum__minimum=41.65; max_sum__standard_deviation=31.12; max_sum__maximum=23.02; max_sum__mean=19.84; std_sum__standard_deviation=13.95; total_ecash__sum_values=12.81; total_sum__median=11.61; std_sum__mean=11.36; total_sum__sum_values=11.12 || max_sum__fft_coefficient__attr_""abs""__coeff_1=70.75; total_sum__minimum=41.65; max_sum__standard_deviation=31.12; max_sum__maximum=23.02; max_sum__mean=19.84; std_sum__standard_deviation=13.95; total_ecash__sum_values=12.81; total_sum__median=11.61; std_sum__mean=11.36; total_sum__sum_values=11.12 || max_sum__fft_coefficient__attr_""abs""__coeff_1=70.75; total_sum__minimum=41.65; max_sum__standard_deviation=31.12; max_sum__maximum=23.02; max_sum__mean=19.84; std_sum__standard_deviation=13.95; total_ecash__sum_values=12.81; total_sum__median=11.61; std_sum__mean=11.36; total_sum__sum_values=11.12"
9,4ed69874d5a7d37cbcc6aaf280a9bbf1,1.0,1.0,1.0,1.0,1434,92,"total_sum__fft_coefficient__attr_""abs""__coeff_1=222.02; total_sum__minimum=216.64; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-183.84; total_sum__fft_coefficient__attr_""abs""__coeff_2=123.88; total_sum__standard_deviation=90.03; n_items__standard_deviation=88.55; total_items__standard_deviation=81.83; total_sum__median=74.62; total_sum__sum_values=73.50; total_sum__mean=73.50 || total_sum__fft_coefficient__attr_""abs""__coeff_1=222.02; total_sum__minimum=216.64; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-183.84; total_sum__fft_coefficient__attr_""abs""__coeff_2=123.88; total_sum__standard_deviation=90.03; n_items__standard_deviation=88.55; total_items__standard_deviation=81.83; total_sum__median=74.62; total_sum__sum_values=73.50; total_sum__mean=73.50 || total_sum__fft_coefficient__attr_""abs""__coeff_1=222.02; total_sum__minimum=216.64; total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""=-183.84; total_sum__fft_coefficient__attr_""abs""__coeff_2=123.88; total_sum__standard_deviation=90.03; n_items__standard_deviation=88.55; total_items__standard_deviation=81.83; total_sum__median=74.62; total_sum__sum_values=73.50; total_sum__mean=73.50"
10,4efa9d40658eecf67c89fdf0323c755b,1.0,1.0,1.0,1.0,764,92,avg_price_piece__standard_deviation=135.52; avg_price_piece__mean=116.56; avg_price_item__standard_deviation=112.08; avg_price_item__mean=100.39; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.38; total_items__mean=-0.34; n_items__mean=-0.34 || avg_price_piece__standard_deviation=135.52; avg_price_piece__mean=116.56; avg_price_item__standard_deviation=112.08; avg_price_item__mean=100.39; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.38; total_items__mean=-0.34; n_items__mean=-0.34 || avg_price_piece__standard_deviation=135.52; avg_price_piece__mean=116.56; avg_price_item__standard_deviation=112.08; avg_price_item__mean=100.39; n_items__standard_deviation=-0.39; total_items__standard_deviation=-0.38; total_items__mean=-0.34; n_items__mean=-0.34
