final_day_rank,kkt_id,date,final_day_anomaly_score,best_day_score,mean_day_score,total_sum,n_bills,total_ecash,ecash_fraction,explanation
1,a32f067711de2e6a4eab509c3590f090,2023-12-31,1.0,1.0,1.0,1287178.4,413.0,1081986.4,0.84058774,total_cash=14.30; total_sum=12.38; total_ecash=12.00; max_sum=10.34; n_items=8.71; total_items=7.98; std_sum=4.87; median_sum=4.78; avg_sum=4.69; avg_cash=4.69 || total_cash=14.30; total_sum=12.38; total_ecash=12.00; max_sum=10.34; n_items=8.71; total_items=7.98; std_sum=4.87; median_sum=4.78; avg_sum=4.69; avg_cash=4.69 || total_cash=14.30; total_sum=12.38; total_ecash=12.00; max_sum=10.34; n_items=8.71; total_items=7.98; std_sum=4.87; median_sum=4.78; avg_sum=4.69; avg_cash=4.69
2,dc978bcbb6686f0e70c173d2367e131a,2023-12-26,1.0,1.0,1.0,94620.0,1.0,0.0,0.0,min_sum=1819.45; avg_price_piece=436.98; avg_price_item=310.34; avg_cash=158.14; median_sum=148.50; avg_sum=93.89; max_sum=17.00; total_cash=7.04; ecash_fraction=-0.73; ecash_bills_fraction=-0.70 || min_sum=1819.45; avg_price_piece=436.98; avg_price_item=310.34; avg_cash=158.14; median_sum=148.50; avg_sum=93.89; max_sum=17.00; total_cash=7.04; ecash_fraction=-0.73; ecash_bills_fraction=-0.70 || min_sum=1819.45; avg_price_piece=436.98; avg_price_item=310.34; avg_cash=158.14; median_sum=148.50; avg_sum=93.89; max_sum=17.00; total_cash=7.04; ecash_fraction=-0.73; ecash_bills_fraction=-0.70
3,dc978bcbb6686f0e70c173d2367e131a,2023-12-18,1.0,1.0,1.0,101982.0,2.0,0.0,0.0,avg_price_piece=235.29; min_sum=197.95; avg_price_item=167.08; avg_cash=85.22; median_sum=79.80; avg_sum=50.36; std_sum=49.49; max_sum=16.46; total_cash=7.59; ecash_fraction=-0.73 || avg_price_piece=235.29; min_sum=197.95; avg_price_item=167.08; avg_cash=85.22; median_sum=79.80; avg_sum=50.36; std_sum=49.49; max_sum=16.46; total_cash=7.59; ecash_fraction=-0.73 || avg_price_piece=235.29; min_sum=197.95; avg_price_item=167.08; avg_cash=85.22; median_sum=79.80; avg_sum=50.36; std_sum=49.49; max_sum=16.46; total_cash=7.59; ecash_fraction=-0.73
4,dc978bcbb6686f0e70c173d2367e131a,2023-12-19,1.0,1.0,1.0,92560.0,1.0,0.0,0.0,min_sum=1779.84; avg_price_piece=427.45; avg_price_item=303.58; avg_cash=154.70; median_sum=145.26; avg_sum=91.84; max_sum=16.62; total_cash=6.89; ecash_fraction=-0.73; ecash_bills_fraction=-0.70 || min_sum=1779.84; avg_price_piece=427.45; avg_price_item=303.58; avg_cash=154.70; median_sum=145.26; avg_sum=91.84; max_sum=16.62; total_cash=6.89; ecash_fraction=-0.73; ecash_bills_fraction=-0.70 || min_sum=1779.84; avg_price_piece=427.45; avg_price_item=303.58; avg_cash=154.70; median_sum=145.26; avg_sum=91.84; max_sum=16.62; total_cash=6.89; ecash_fraction=-0.73; ecash_bills_fraction=-0.70
5,45b5abf828e4410557284e89ab1223b8,2023-12-28,1.0,1.0,1.0,94470.0,4.0,94470.0,1.0,total_sum__roll7_rel_jump=240227123200.00; total_sum__roll14_rel_jump=204125519872.00; avg_sum__roll7_rel_jump=108638535680.00; max_sum__roll7_rel_jump=102320144384.00; avg_sum__roll14_rel_jump=96498647040.00; max_sum__roll14_rel_jump=96379379712.00; total_sum__roll14_z=86598336512.00; total_sum__roll7_z=83461300224.00; max_sum__roll14_z=55320195072.00; max_sum__roll7_z=50818048000.00 || total_sum__roll7_rel_jump=240227123200.00; total_sum__roll14_rel_jump=204125519872.00; avg_sum__roll7_rel_jump=108638535680.00; max_sum__roll7_rel_jump=102320144384.00; avg_sum__roll14_rel_jump=96498647040.00; max_sum__roll14_rel_jump=96379379712.00; total_sum__roll14_z=86598336512.00; total_sum__roll7_z=83461300224.00; max_sum__roll14_z=55320195072.00; max_sum__roll7_z=50818048000.00 || total_sum__roll7_rel_jump=240227123200.00; total_sum__roll14_rel_jump=204125519872.00; avg_sum__roll7_rel_jump=108638535680.00; max_sum__roll7_rel_jump=102320144384.00; avg_sum__roll14_rel_jump=96498647040.00; max_sum__roll14_rel_jump=96379379712.00; total_sum__roll14_z=86598336512.00; total_sum__roll7_z=83461300224.00; max_sum__roll14_z=55320195072.00; max_sum__roll7_z=50818048000.00
6,dc978bcbb6686f0e70c173d2367e131a,2023-12-20,1.0,1.0,1.0,210055.0,3.0,0.0,0.0,min_sum=432.53; avg_price_piece=323.25; avg_price_item=229.56; median_sum=143.90; avg_cash=117.02; avg_sum=69.35; std_sum=40.82; max_sum=17.23; total_cash=15.64; total_sum=1.70 || min_sum=432.53; avg_price_piece=323.25; avg_price_item=229.56; median_sum=143.90; avg_cash=117.02; avg_sum=69.35; std_sum=40.82; max_sum=17.23; total_cash=15.64; total_sum=1.70 || min_sum=432.53; avg_price_piece=323.25; avg_price_item=229.56; median_sum=143.90; avg_cash=117.02; avg_sum=69.35; std_sum=40.82; max_sum=17.23; total_cash=15.64; total_sum=1.70
7,45d06c5a6c5dcf992c963f852a099cf0,2023-11-10,1.0,1.0,1.0,2952.0,8.0,2734.0,0.92615175,total_sum__roll7_rel_jump=7506620928.00; total_sum__roll14_rel_jump=6378517504.00; total_sum__roll14_z=2706026240.00; total_sum__roll7_z=2608000000.00; max_sum__roll7_rel_jump=2332655616.00; max_sum__roll14_rel_jump=2197220096.00; avg_sum__roll7_rel_jump=1697369472.00; avg_sum__roll14_rel_jump=1507695744.00; max_sum__roll14_z=1261168640.00; max_sum__roll7_z=1158530432.00 || total_sum__roll7_rel_jump=7506620928.00; total_sum__roll14_rel_jump=6378517504.00; total_sum__roll14_z=2706026240.00; total_sum__roll7_z=2608000000.00; max_sum__roll7_rel_jump=2332655616.00; max_sum__roll14_rel_jump=2197220096.00; avg_sum__roll7_rel_jump=1697369472.00; avg_sum__roll14_rel_jump=1507695744.00; max_sum__roll14_z=1261168640.00; max_sum__roll7_z=1158530432.00 || total_sum__roll7_rel_jump=7506620928.00; total_sum__roll14_rel_jump=6378517504.00; total_sum__roll14_z=2706026240.00; total_sum__roll7_z=2608000000.00; max_sum__roll7_rel_jump=2332655616.00; max_sum__roll14_rel_jump=2197220096.00; avg_sum__roll7_rel_jump=1697369472.00; avg_sum__roll14_rel_jump=1507695744.00; max_sum__roll14_z=1261168640.00; max_sum__roll7_z=1158530432.00
8,dc978bcbb6686f0e70c173d2367e131a,2023-12-22,1.0,1.0,1.0,191560.0,2.0,0.0,0.0,min_sum=1841.76; avg_price_piece=442.34; avg_price_item=314.15; avg_cash=160.08; median_sum=150.33; avg_sum=95.05; max_sum=17.22; total_cash=14.26; total_sum=1.53; ecash_fraction=-0.73 || min_sum=1841.76; avg_price_piece=442.34; avg_price_item=314.15; avg_cash=160.08; median_sum=150.33; avg_sum=95.05; max_sum=17.22; total_cash=14.26; total_sum=1.53; ecash_fraction=-0.73 || min_sum=1841.76; avg_price_piece=442.34; avg_price_item=314.15; avg_cash=160.08; median_sum=150.33; avg_sum=95.05; max_sum=17.22; total_cash=14.26; total_sum=1.53; ecash_fraction=-0.73
9,45d3a561ece2a6c6bbfa2712c2ebbf7b,2023-10-31,1.0,1.0,1.0,914605.0,1.0,0.0,0.0,derived_cash_to_ecash=2477367469539328.00; avg_sum__roll7_rel_jump=4207107375104.00; avg_sum__roll14_rel_jump=3736981209088.00; total_sum__roll7_rel_jump=2325742878720.00; total_sum__roll14_rel_jump=1976227725312.00; max_sum__roll7_rel_jump=1856795967488.00; max_sum__roll14_rel_jump=1748989247488.00; max_sum__roll14_z=1003891392512.00; max_sum__roll7_z=922191265792.00; avg_sum__roll14_z=855192698880.00 || derived_cash_to_ecash=2477367469539328.00; avg_sum__roll7_rel_jump=4207107375104.00; avg_sum__roll14_rel_jump=3736981209088.00; total_sum__roll7_rel_jump=2325742878720.00; total_sum__roll14_rel_jump=1976227725312.00; max_sum__roll7_rel_jump=1856795967488.00; max_sum__roll14_rel_jump=1748989247488.00; max_sum__roll14_z=1003891392512.00; max_sum__roll7_z=922191265792.00; avg_sum__roll14_z=855192698880.00 || derived_cash_to_ecash=2477367469539328.00; avg_sum__roll7_rel_jump=4207107375104.00; avg_sum__roll14_rel_jump=3736981209088.00; total_sum__roll7_rel_jump=2325742878720.00; total_sum__roll14_rel_jump=1976227725312.00; max_sum__roll7_rel_jump=1856795967488.00; max_sum__roll14_rel_jump=1748989247488.00; max_sum__roll14_z=1003891392512.00; max_sum__roll7_z=922191265792.00; avg_sum__roll14_z=855192698880.00
10,45d3a561ece2a6c6bbfa2712c2ebbf7b,2023-11-09,1.0,1.0,1.0,400000.0,1.0,0.0,0.0,derived_cash_to_ecash=1083469857816576.00; avg_sum__roll7_rel_jump=1839966846976.00; total_sum__roll7_rel_jump=1017157320704.00; max_sum__roll7_rel_jump=812064636928.00; max_sum__roll7_z=403317817344.00; avg_sum__roll7_z=354827272192.00; total_sum__roll7_z=353387544576.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50; total_items__roll7_z=885904.00 || derived_cash_to_ecash=1083469857816576.00; avg_sum__roll7_rel_jump=1839966846976.00; total_sum__roll7_rel_jump=1017157320704.00; max_sum__roll7_rel_jump=812064636928.00; max_sum__roll7_z=403317817344.00; avg_sum__roll7_z=354827272192.00; total_sum__roll7_z=353387544576.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50; total_items__roll7_z=885904.00 || derived_cash_to_ecash=1083469857816576.00; avg_sum__roll7_rel_jump=1839966846976.00; total_sum__roll7_rel_jump=1017157320704.00; max_sum__roll7_rel_jump=812064636928.00; max_sum__roll7_z=403317817344.00; avg_sum__roll7_z=354827272192.00; total_sum__roll7_z=353387544576.00; n_bills__roll7_rel_jump=2944550.25; total_items__roll7_rel_jump=2611774.50; total_items__roll7_z=885904.00
