relative_path,path,parent,name,ext,size_mb,reader,encoding,sep,sheet,read_error,n_sample_rows,n_sample_cols,columns,keyword_score,keyword_hits,candidate_role,sample_file,is_readable,has_columns,non_tiny,take_candidate,inferred_purpose
dataloader_time_series\ts_kkt_id_okved_47.11_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_time_series\ts_kkt_id_okved_47.11_region_77_impute_True.csv,dataloader_time_series,ts_kkt_id_okved_47.11_region_77_impute_True.csv,.csv,1024.72,pd.read_csv,utf-8,",",,,10,22,"['kkt_id', 'date', 'total_sum', 'avg_sum', 'std_sum', 'skew_sum', 'max_sum', 'min_sum', 'median_sum', 'total_cash', 'total_ecash', 'n_bills', 'n_items', 'total_items', 'trade_store_hash', 'trade_object_hash', 'ecash_fraction', 'avg_price_item', 'avg_price_piece', 'avg_cash', 'avg_ecash', 'ecash_bills_fraction']",8,"['kkt', 'cash', 'sum', 'total', 'price', 'reg', 'date', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_time_series_ts_kkt_id_okved_47.11_region_77_impute_True.csv__sample.csv,True,True,True,True,PRIMARY_RECEIPT_EVENTS
db_output\okved_47.11_region_77_2023_month_10-12_code_3_operation_1_v1.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\db_output\okved_47.11_region_77_2023_month_10-12_code_3_operation_1_v1.csv,db_output,okved_47.11_region_77_2023_month_10-12_code_3_operation_1_v1.csv,.csv,742.099,pd.read_csv,utf-8,",",,,10,27,"['kkt_id', 'date', 'region', 'total_sum', 'avg_sum', 'std_sum', 'skew_sum', 'max_sum', 'min_sum', 'median_sum', 'total_cash', 'total_ecash', 'total_prepaid', 'total_credit', 'total_provision', 'n_bills', 'n_cash_bills', 'n_ecash_bills', 'n_items', 'total_items', 'n_taxation_types', 'okved2', 'okved_group', 'type', 'category', 'trade_store_hash', 'trade_object_hash']",9,"['kkt', 'cash', 'operation', 'sum', 'total', 'reg', 'date', 'tax', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\db_output_okved_47.11_region_77_2023_month_10-12_code_3_operation_1_v1.csv__sample.csv,True,True,True,True,PRIMARY_RECEIPT_EVENTS
dataloader_time_series\ts_kkt_id_okved_47.19_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_time_series\ts_kkt_id_okved_47.19_region_77_impute_True.csv,dataloader_time_series,ts_kkt_id_okved_47.19_region_77_impute_True.csv,.csv,451.602,pd.read_csv,utf-8,",",,,10,22,"['kkt_id', 'date', 'total_sum', 'avg_sum', 'std_sum', 'skew_sum', 'max_sum', 'min_sum', 'median_sum', 'total_cash', 'total_ecash', 'n_bills', 'n_items', 'total_items', 'trade_store_hash', 'trade_object_hash', 'ecash_fraction', 'avg_price_item', 'avg_price_piece', 'avg_cash', 'avg_ecash', 'ecash_bills_fraction']",8,"['kkt', 'cash', 'sum', 'total', 'price', 'reg', 'date', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_time_series_ts_kkt_id_okved_47.19_region_77_impute_True.csv__sample.csv,True,True,True,True,PRIMARY_RECEIPT_EVENTS
db_output\okved_47.19_region_77_2023_month_10-12_code_3_operation_1_from_db.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\db_output\okved_47.19_region_77_2023_month_10-12_code_3_operation_1_from_db.csv,db_output,okved_47.19_region_77_2023_month_10-12_code_3_operation_1_from_db.csv,.csv,321.633,pd.read_csv,utf-8,",",,,10,27,"['kkt_id', 'date', 'region', 'total_sum', 'avg_sum', 'std_sum', 'skew_sum', 'max_sum', 'min_sum', 'median_sum', 'total_cash', 'total_ecash', 'total_prepaid', 'total_credit', 'total_provision', 'n_bills', 'n_cash_bills', 'n_ecash_bills', 'n_items', 'total_items', 'n_taxation_types', 'okved2', 'okved_group', 'type', 'category', 'trade_store_hash', 'trade_object_hash']",9,"['kkt', 'cash', 'operation', 'sum', 'total', 'reg', 'date', 'tax', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\db_output_okved_47.19_region_77_2023_month_10-12_code_3_operation_1_from_db.csv__sample.csv,True,True,True,True,PRIMARY_RECEIPT_EVENTS
dataloader_time_series\ts_stores_okved_47.11_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_time_series\ts_stores_okved_47.11_region_77_impute_True.csv,dataloader_time_series,ts_stores_okved_47.11_region_77_impute_True.csv,.csv,244.942,pd.read_csv,utf-8,",",,,10,22,"['trade_store_hash', 'date', 'kkt_id', 'total_sum', 'max_sum', 'min_sum', 'total_cash', 'total_ecash', 'n_bills', 'n_cash_bills', 'n_ecash_bills', 'n_items', 'total_items', 'trade_object_hash', 'total_other', 'cash_fraction', 'ecash_fraction', 'avg_sum', 'avg_price_item', 'avg_price_piece', 'avg_cash', 'avg_ecash']",8,"['kkt', 'cash', 'sum', 'total', 'price', 'reg', 'date', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_time_series_ts_stores_okved_47.11_region_77_impute_True.csv__sample.csv,True,True,True,True,PRIMARY_RECEIPT_EVENTS
dataloader_time_series\ts_stores_okved_47.19_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_time_series\ts_stores_okved_47.19_region_77_impute_True.csv,dataloader_time_series,ts_stores_okved_47.19_region_77_impute_True.csv,.csv,133.102,pd.read_csv,utf-8,",",,,10,22,"['trade_store_hash', 'date', 'kkt_id', 'total_sum', 'max_sum', 'min_sum', 'total_cash', 'total_ecash', 'n_bills', 'n_cash_bills', 'n_ecash_bills', 'n_items', 'total_items', 'trade_object_hash', 'total_other', 'cash_fraction', 'ecash_fraction', 'avg_sum', 'avg_price_item', 'avg_price_piece', 'avg_cash', 'avg_ecash']",8,"['kkt', 'cash', 'sum', 'total', 'price', 'reg', 'date', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_time_series_ts_stores_okved_47.19_region_77_impute_True.csv__sample.csv,True,True,True,True,PRIMARY_RECEIPT_EVENTS
dataloader_aggregated\agg_kkt_okved_47.11_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_aggregated\agg_kkt_okved_47.11_region_77_impute_True.csv,dataloader_aggregated,agg_kkt_okved_47.11_region_77_impute_True.csv,.csv,78.621,pd.read_csv,utf-8,",",,,10,156,"['avg_ecash__mean', 'avg_ecash__standard_deviation', 'avg_price_item__mean', 'avg_price_item__standard_deviation', 'avg_price_piece__mean', 'avg_price_piece__standard_deviation', 'avg_sum__mean', 'avg_sum__standard_deviation', 'avg_sum__skewness', 'avg_sum__ratio_beyond_r_sigma__r_2', 'avg_sum__ratio_beyond_r_sigma__r_3', 'ecash_bills_fraction__mean', 'ecash_bills_fraction__standard_deviation', 'ecash_bills_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'ecash_bills_fraction__autocorrelation__lag_7', 'ecash_bills_fraction__ratio_beyond_r_sigma__r_2', 'ecash_fraction__mean', 'ecash_fraction__median', 'ecash_fraction__standard_deviation', 'ecash_fraction__skewness', 'ecash_fraction__maximum', 'ecash_fraction__minimum', 'ecash_fraction__longest_strike_above_mean', 'ecash_fraction__longest_strike_below_mean', 'ecash_fraction__count_above__t_0.99', 'ecash_fraction__count_below__t_0.01', 'ecash_fraction__value_count__value_0', 'ecash_fraction__value_count__value_1', 'ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'ecash_fraction__cid_ce__normalize_True', 'max_sum__mean', 'max_sum__standard_deviation', 'max_sum__maximum', 'max_sum__minimum', 'max_sum__ratio_beyond_r_sigma__r_3', 'max_sum__number_peaks__n_1', 'max_sum__number_peaks__n_2', 'max_sum__cid_ce__normalize_True', 'max_sum__fft_coefficient__attr_""abs""__coeff_1', 'median_sum__mean', 'median_sum__standard_deviation', 'median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""', 'median_sum__autocorrelation__lag_7', 'median_sum__longest_strike_above_mean', 'median_sum__cid_ce__normalize_True', 'min_sum__mean', 'min_sum__standard_deviation', 'min_sum__maximum', 'min_sum__minimum', 'min_sum__ratio_beyond_r_sigma__r_3', 'min_sum__number_peaks__n_1', 'min_sum__number_peaks__n_2', 'min_sum__cid_ce__normalize_True', 'min_sum__fft_coefficient__attr_""abs""__coeff_1', 'n_bills__mean', 'n_bills__median', 'n_bills__standard_deviation', 'n_bills__skewness', 'n_items__mean', 'n_items__standard_deviation', 'skew_sum__mean', 'skew_sum__standard_deviation', 'skew_sum__ratio_beyond_r_sigma__r_2', 'skew_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""', 'skew_sum__absolute_sum_of_changes', 'std_sum__mean', 'std_sum__median', 'std_sum__standard_deviation', 'std_sum__skewness', 'std_sum__ratio_beyond_r_sigma__r_2', 'std_sum__ratio_beyond_r_sigma__r_3', 'std_sum__cid_ce__normalize_True', 'std_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'total_cash__sum_values', 'total_cash__standard_deviation', 'total_ecash__sum_values', 'total_ecash__standard_deviation', 'total_items__mean', 'total_items__standard_deviation', 'total_sum__length', 'total_sum__mean', 'total_sum__median', 'total_sum__standard_deviation', 'total_sum__skewness', 'total_sum__sum_values', 'total_sum__variation_coefficient', 'total_sum__maximum', 'total_sum__minimum', 'total_sum__value_count__value_0', 'total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'total_sum__benford_correlation', 'total_sum__cid_ce__normalize_True', 'total_sum__longest_strike_above_mean', 'total_sum__longest_strike_below_mean', 'total_sum__mean_abs_change', 'total_sum__number_peaks__n_1', 'total_sum__number_peaks__n_2', 'total_sum__number_peaks__n_3', 'total_sum__autocorrelation__lag_1', 'total_sum__autocorrelation__lag_2', 'total_sum__autocorrelation__lag_3', 'total_sum__autocorrelation__lag_4', 'total_sum__autocorrelation__lag_5', 'total_sum__autocorrelation__lag_6', 'total_sum__autocorrelation__lag_7', 'total_sum__partial_autocorrelation__lag_1', 'total_sum__partial_autocorrelation__lag_2', 'total_sum__partial_autocorrelation__lag_3', 'total_sum__partial_autocorrelation__lag_4', 'total_sum__partial_autocorrelation__lag_5', 'total_sum__partial_autocorrelation__lag_6', 'total_sum__partial_autocorrelation__lag_7', 'total_sum__percentage_of_reoccurring_datapoints_to_all_datapoints', 'total_sum__ratio_beyond_r_sigma__r_2', 'total_sum__ratio_beyond_r_sigma__r_3', 'total_sum__fft_coefficient__attr_""abs""__coeff_1', 'total_sum__fft_coefficient__attr_""abs""__coeff_2', 'total_sum__autocorrelation_sum_to_lag_7', 'total_sum__partial_autocorrelation_sum_to_lag_7', 'total_sum__trend_strength', 'total_sum__seasonal_strength', 'total_sum__autocorrelation_n_peaks', 'total_sum__autocorrelation_mean_dist_between_peaks', 'total_sum__autocorrelation_std_dist_between_peaks', 'total_sum__weekly_seasonality', 'total_sum__n_bills__corr', 'total_sum__avg_sum__corr', 'total_sum__total_items__corr', 'total_cash__total_ecash__corr', 'ecash_fraction__ecash_bills_fraction__corr', 'total_sum__ecash_fraction__corr', 'total_sum__std_sum__corr', 'avg_sum__n_bills__corr', 'std_sum__n_bills__corr', 'avg_sum__std_sum__corr', 'ecash_bills_fraction__n_bills__corr', 'avg_cash__avg_ecash__corr', 'avg_price_item__avg_sum__corr', 'total_sum__frequency_1', 'total_sum__frequency_2', 'total_sum__magnitude_1', 'total_sum__magnitude_2', 'total_sum__phase_1', 'total_sum__phase_2', 'total_sum__magnitude_3_5', 'total_sum__magnitude_7', 'kkt_id', 'type', 'category', 'okved2', 'region', 'trade_store_hash', 'trade_object_hash', 'n_kkt_id', 'total_sum__cash_fraction', 'total_sum__ecash_fraction']",7,"['kkt', 'cash', 'sum', 'total', 'price', 'reg', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_aggregated_agg_kkt_okved_47.11_region_77_impute_True.csv__sample.csv,True,True,True,True,RECEIPT_ITEMS
dataloader_aggregated\agg_kkt_okved_47.19_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_aggregated\agg_kkt_okved_47.19_region_77_impute_True.csv,dataloader_aggregated,agg_kkt_okved_47.19_region_77_impute_True.csv,.csv,35.495,pd.read_csv,utf-8,",",,,10,156,"['avg_ecash__mean', 'avg_ecash__standard_deviation', 'avg_price_item__mean', 'avg_price_item__standard_deviation', 'avg_price_piece__mean', 'avg_price_piece__standard_deviation', 'avg_sum__mean', 'avg_sum__standard_deviation', 'avg_sum__skewness', 'avg_sum__ratio_beyond_r_sigma__r_2', 'avg_sum__ratio_beyond_r_sigma__r_3', 'ecash_bills_fraction__mean', 'ecash_bills_fraction__standard_deviation', 'ecash_bills_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'ecash_bills_fraction__autocorrelation__lag_7', 'ecash_bills_fraction__ratio_beyond_r_sigma__r_2', 'ecash_fraction__mean', 'ecash_fraction__median', 'ecash_fraction__standard_deviation', 'ecash_fraction__skewness', 'ecash_fraction__maximum', 'ecash_fraction__minimum', 'ecash_fraction__longest_strike_above_mean', 'ecash_fraction__longest_strike_below_mean', 'ecash_fraction__count_above__t_0.99', 'ecash_fraction__count_below__t_0.01', 'ecash_fraction__value_count__value_0', 'ecash_fraction__value_count__value_1', 'ecash_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'ecash_fraction__cid_ce__normalize_True', 'max_sum__mean', 'max_sum__standard_deviation', 'max_sum__maximum', 'max_sum__minimum', 'max_sum__ratio_beyond_r_sigma__r_3', 'max_sum__number_peaks__n_1', 'max_sum__number_peaks__n_2', 'max_sum__cid_ce__normalize_True', 'max_sum__fft_coefficient__attr_""abs""__coeff_1', 'median_sum__mean', 'median_sum__standard_deviation', 'median_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""', 'median_sum__autocorrelation__lag_7', 'median_sum__longest_strike_above_mean', 'median_sum__cid_ce__normalize_True', 'min_sum__mean', 'min_sum__standard_deviation', 'min_sum__maximum', 'min_sum__minimum', 'min_sum__ratio_beyond_r_sigma__r_3', 'min_sum__number_peaks__n_1', 'min_sum__number_peaks__n_2', 'min_sum__cid_ce__normalize_True', 'min_sum__fft_coefficient__attr_""abs""__coeff_1', 'n_bills__mean', 'n_bills__median', 'n_bills__standard_deviation', 'n_bills__skewness', 'n_items__mean', 'n_items__standard_deviation', 'skew_sum__mean', 'skew_sum__standard_deviation', 'skew_sum__ratio_beyond_r_sigma__r_2', 'skew_sum__agg_linear_trend__attr_""slope""__chunk_len_14__f_agg_""mean""', 'skew_sum__absolute_sum_of_changes', 'std_sum__mean', 'std_sum__median', 'std_sum__standard_deviation', 'std_sum__skewness', 'std_sum__ratio_beyond_r_sigma__r_2', 'std_sum__ratio_beyond_r_sigma__r_3', 'std_sum__cid_ce__normalize_True', 'std_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'total_cash__sum_values', 'total_cash__standard_deviation', 'total_ecash__sum_values', 'total_ecash__standard_deviation', 'total_items__mean', 'total_items__standard_deviation', 'total_sum__length', 'total_sum__mean', 'total_sum__median', 'total_sum__standard_deviation', 'total_sum__skewness', 'total_sum__sum_values', 'total_sum__variation_coefficient', 'total_sum__maximum', 'total_sum__minimum', 'total_sum__value_count__value_0', 'total_sum__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'total_sum__benford_correlation', 'total_sum__cid_ce__normalize_True', 'total_sum__longest_strike_above_mean', 'total_sum__longest_strike_below_mean', 'total_sum__mean_abs_change', 'total_sum__number_peaks__n_1', 'total_sum__number_peaks__n_2', 'total_sum__number_peaks__n_3', 'total_sum__autocorrelation__lag_1', 'total_sum__autocorrelation__lag_2', 'total_sum__autocorrelation__lag_3', 'total_sum__autocorrelation__lag_4', 'total_sum__autocorrelation__lag_5', 'total_sum__autocorrelation__lag_6', 'total_sum__autocorrelation__lag_7', 'total_sum__partial_autocorrelation__lag_1', 'total_sum__partial_autocorrelation__lag_2', 'total_sum__partial_autocorrelation__lag_3', 'total_sum__partial_autocorrelation__lag_4', 'total_sum__partial_autocorrelation__lag_5', 'total_sum__partial_autocorrelation__lag_6', 'total_sum__partial_autocorrelation__lag_7', 'total_sum__percentage_of_reoccurring_datapoints_to_all_datapoints', 'total_sum__ratio_beyond_r_sigma__r_2', 'total_sum__ratio_beyond_r_sigma__r_3', 'total_sum__fft_coefficient__attr_""abs""__coeff_1', 'total_sum__fft_coefficient__attr_""abs""__coeff_2', 'total_sum__autocorrelation_sum_to_lag_7', 'total_sum__partial_autocorrelation_sum_to_lag_7', 'total_sum__trend_strength', 'total_sum__seasonal_strength', 'total_sum__autocorrelation_n_peaks', 'total_sum__autocorrelation_mean_dist_between_peaks', 'total_sum__autocorrelation_std_dist_between_peaks', 'total_sum__weekly_seasonality', 'total_sum__n_bills__corr', 'total_sum__avg_sum__corr', 'total_sum__total_items__corr', 'total_cash__total_ecash__corr', 'ecash_fraction__ecash_bills_fraction__corr', 'total_sum__ecash_fraction__corr', 'total_sum__std_sum__corr', 'avg_sum__n_bills__corr', 'std_sum__n_bills__corr', 'avg_sum__std_sum__corr', 'ecash_bills_fraction__n_bills__corr', 'avg_cash__avg_ecash__corr', 'avg_price_item__avg_sum__corr', 'total_sum__frequency_1', 'total_sum__frequency_2', 'total_sum__magnitude_1', 'total_sum__magnitude_2', 'total_sum__phase_1', 'total_sum__phase_2', 'total_sum__magnitude_3_5', 'total_sum__magnitude_7', 'kkt_id', 'type', 'category', 'okved2', 'region', 'trade_store_hash', 'trade_object_hash', 'n_kkt_id', 'total_sum__cash_fraction', 'total_sum__ecash_fraction']",7,"['kkt', 'cash', 'sum', 'total', 'price', 'reg', 'item']",likely_receipts_or_kkt,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_aggregated_agg_kkt_okved_47.19_region_77_impute_True.csv__sample.csv,True,True,True,True,RECEIPT_ITEMS
dataloader_aggregated\agg_store_okved_47.11_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_aggregated\agg_store_okved_47.11_region_77_impute_True.csv,dataloader_aggregated,agg_store_okved_47.11_region_77_impute_True.csv,.csv,1.819,pd.read_csv,utf-8,",",,,10,24,"['avg_cash__length', 'avg_ecash__length', 'avg_price_item__length', 'avg_price_piece__length', 'avg_sum__length', 'cash_fraction__length', 'ecash_fraction__length', 'max_sum__length', 'min_sum__length', 'n_bills__length', 'n_cash_bills__length', 'n_ecash_bills__length', 'n_items__length', 'total_cash__sum_values', 'total_cash__standard_deviation', 'total_ecash__sum_values', 'total_ecash__standard_deviation', 'total_items__length', 'total_other__length', 'total_sum__sum_values', 'total_sum__standard_deviation', 'total_sum__length', 'total_sum__cash_fraction', 'total_sum__ecash_fraction']",6,"['cash', 'sum', 'total', 'price', 'reg', 'item']",likely_receipt_items,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_aggregated_agg_store_okved_47.11_region_77_impute_True.csv__sample.csv,True,True,True,True,RECEIPT_ITEMS
dataloader_aggregated\agg_store_okved_47.19_region_77_impute_True.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_aggregated\agg_store_okved_47.19_region_77_impute_True.csv,dataloader_aggregated,agg_store_okved_47.19_region_77_impute_True.csv,.csv,1.021,pd.read_csv,utf-8,",",,,10,24,"['avg_cash__length', 'avg_ecash__length', 'avg_price_item__length', 'avg_price_piece__length', 'avg_sum__length', 'cash_fraction__length', 'ecash_fraction__length', 'max_sum__length', 'min_sum__length', 'n_bills__length', 'n_cash_bills__length', 'n_ecash_bills__length', 'n_items__length', 'total_cash__sum_values', 'total_cash__standard_deviation', 'total_ecash__sum_values', 'total_ecash__standard_deviation', 'total_items__length', 'total_other__length', 'total_sum__sum_values', 'total_sum__standard_deviation', 'total_sum__length', 'total_sum__cash_fraction', 'total_sum__ecash_fraction']",6,"['cash', 'sum', 'total', 'price', 'reg', 'item']",likely_receipt_items,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data_audit_outputs\samples\dataloader_aggregated_agg_store_okved_47.19_region_77_impute_True.csv__sample.csv,True,True,True,True,RECEIPT_ITEMS
