avg_cash__length,avg_ecash__length,avg_price_item__length,avg_price_piece__length,avg_sum__length,cash_fraction__length,ecash_fraction__length,max_sum__length,min_sum__length,n_bills__length,n_cash_bills__length,n_ecash_bills__length,n_items__length,total_cash__sum_values,total_cash__standard_deviation,total_ecash__sum_values,total_ecash__standard_deviation,total_items__length,total_other__length,total_sum__sum_values,total_sum__standard_deviation,total_sum__length,total_sum__cash_fraction,total_sum__ecash_fraction
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,1750742.5,23977.30743314829,0.0,0.0,92.0,92.0,1750742.5,23977.30743314829,92.0,1.0,0.0
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,3309737.0,18673.45125878832,7709900.890000004,47216.45808225929,92.0,92.0,11019637.889999997,61228.77700240519,92.0,0.3003489799790509,0.6996510200209498
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,7122675.529999999,8946.965432736524,92.0,92.0,7122675.529999999,8946.965432736524,92.0,0.0,1.0
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,11487660.48,110041.63880978688,92.0,92.0,11487660.48,110041.63880978688,92.0,0.0,1.0
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,225464679.69,887841.8504182313,92.0,92.0,438372315.62,1824765.78178708,92.0,0.0,0.5143223503316358
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,475857.0,5683.120213445062,1422021.1400000004,16206.372005543735,92.0,92.0,1897878.1400000004,21299.359021319327,92.0,0.2507310611628626,0.7492689388371374
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,2600.0,269.5915134439194,4600.0,309.8035843394412,92.0,92.0,7200.0,543.9041809308204,92.0,0.3611111111111111,0.6388888888888888
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,225007.0,2283.172512018333,1112751.0,6308.535001578333,92.0,92.0,1337758.0,7189.045966720878,92.0,0.1681970879635928,0.8318029120364072
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,19837694.42,46883.32490028145,92.0,92.0,19842107.69,46920.39954196528,92.0,0.0,0.9997775805842328
92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92310.0,3074.4839960036293,798206.0,25888.534900244813,92.0,92.0,890516.0,28886.71580218981,92.0,0.1036590021964793,0.8963409978035206
