trade_store_hash,date,kkt_id,total_sum,max_sum,min_sum,total_cash,total_ecash,n_bills,n_cash_bills,n_ecash_bills,n_items,total_items,trade_object_hash,total_other,cash_fraction,ecash_fraction,avg_sum,avg_price_item,avg_price_piece,avg_cash,avg_ecash
00245d4254e29a759a1ff93fc84bff45,2023-10-01,1,94142.67,3694.87,26.99,0.0,94142.67,167.0,0.0,167.0,818.0,993.304,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,563.7285628742515,115.08883863080683,94.77729879271602,0.0,563.7285628742515
00245d4254e29a759a1ff93fc84bff45,2023-10-02,1,88622.06,3268.01,8.49,0.0,88622.06,201.0,0.0,201.0,845.0,1000.924,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,440.9057711442786,104.8781775147929,88.54024881009947,0.0,440.9057711442786
00245d4254e29a759a1ff93fc84bff45,2023-10-03,1,111386.76,3479.88,19.99,0.0,111386.76,205.0,0.0,205.0,1021.0,1205.082,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,543.3500487804878,109.09574926542604,92.43085532768724,0.0,543.3500487804878
00245d4254e29a759a1ff93fc84bff45,2023-10-04,1,82505.46,2927.39,8.49,0.0,82505.46,155.0,0.0,155.0,762.0,919.764,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,532.2932903225807,108.2748818897638,89.70285855936959,0.0,532.2932903225807
00245d4254e29a759a1ff93fc84bff45,2023-10-05,1,101416.55,3598.75,9.71,0.0,101416.55,203.0,0.0,203.0,934.0,1110.559,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,499.5889162561576,108.58302997858672,91.32027204317826,0.0,499.5889162561576
00245d4254e29a759a1ff93fc84bff45,2023-10-06,1,94434.08,3156.78,18.99,0.0,94434.08,166.0,0.0,166.0,811.0,955.655,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,568.88,116.44152897657212,98.8160790243341,0.0,568.88
00245d4254e29a759a1ff93fc84bff45,2023-10-07,1,102771.03,3195.53,8.49,0.0,102771.03,162.0,0.0,162.0,883.0,1062.0,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,634.3890740740741,116.38848244620613,96.77121468926552,0.0,634.3890740740741
00245d4254e29a759a1ff93fc84bff45,2023-10-08,1,119362.88,7892.03,4.29,0.0,119362.88,171.0,0.0,171.0,1050.0,1303.326,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,698.0285380116959,113.67893333333332,91.58328768090256,0.0,698.0285380116959
00245d4254e29a759a1ff93fc84bff45,2023-10-09,1,82733.58,4797.19,13.26,0.0,82733.58,164.0,0.0,164.0,737.0,854.887,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,504.47304878048783,112.25723202170964,96.77721149110936,0.0,504.47304878048783
00245d4254e29a759a1ff93fc84bff45,2023-10-10,1,87431.14,2922.29,9.99,0.0,87431.14,181.0,0.0,181.0,912.0,1025.734,00245d4254e29a759a1ff93fc84bff45,0.0,0.0,1.0,483.0449723756906,95.86747807017544,85.2376347084137,0.0,483.0449723756906
