kkt_id,date,region,total_sum,avg_sum,std_sum,skew_sum,max_sum,min_sum,median_sum,total_cash,total_ecash,total_prepaid,total_credit,total_provision,n_bills,n_cash_bills,n_ecash_bills,n_items,total_items,n_taxation_types,okved2,okved_group,type,category,trade_store_hash,trade_object_hash
0000f85a36a983b9eb959950c1300e8b,2023-10-01,77,94603.85,2489.575,2572.5212964365787,2.1100280631959936,12345.38,191.98,1833.715,28129.0,66474.85,0.0,0.0,0.0,38,13,25,643,733.414,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-03,77,18893.18,944.659,866.464033892348,1.0601671772521355,2880.13,29.95,639.575,10264.0,8629.18,0.0,0.0,0.0,20,12,8,229,246.873,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-05,77,470646.86,1705.2422463768116,3003.5548222885463,6.002062811898249,30855.0,15.0,888.23,126729.0,343917.86,0.0,0.0,0.0,276,106,173,3776,5010.683999999999,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-06,77,469380.62,1713.0679562043797,1804.771119375415,1.8665320050383856,11488.41,7.0,1100.185,105346.0,364034.62,0.0,0.0,0.0,274,86,191,3747,4608.293,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-07,77,625890.8,2361.8520754716983,2681.7560818588654,2.567189913078557,19998.4,1.05,1494.0,111388.0,511502.8,3000.0,0.0,0.0,265,69,197,4620,5287.014000000001,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-08,77,500633.62,2121.3288983050847,2137.1904937544878,1.4879280660581329,10065.0,1.0,1307.5,97674.0,402959.62,0.0,0.0,0.0,236,70,166,4174,4804.617000000001,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-09,77,168931.04,1330.1656692913386,1702.783432254836,2.756041779681229,10037.9,7.0,718.13,36162.0,132769.04,0.0,0.0,0.0,127,47,81,1406,1816.266,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-10,77,412421.1,1365.6327814569536,1309.7500528484948,1.955201987974936,10173.22,24.0,981.92,108288.0,304133.1,0.0,0.0,0.0,302,108,194,3805,4207.878,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-11,77,256962.71,1278.4214427860695,1476.2655523270437,2.4533136428276983,9160.71,1.5,808.0,72286.0,184676.71,0.0,0.0,0.0,201,85,116,2679,2809.99,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
0000f85a36a983b9eb959950c1300e8b,2023-10-12,77,297002.42,1375.0112037037036,1776.4644725045232,2.9245388583262124,11236.89,17.0,802.725,92323.0,204679.42,0.0,0.0,0.0,216,84,132,2588,3080.915,1,47.19,47.19,1,4,x049f57ea911ddd05f02837ade7ed93a05ae181d83aafcc3d374a3e820f9dbe09,xbfeeb8c9a053f91fca63d1cbfac00d3e104667cdde10285259c9a7478a716290
