dataset,regime,ablation,model,status,error,n_nodes,n_edges_perturbed,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct,k_at_10pct,hits_at_10pct,precision_at_k_at_10pct,recall_at_k_at_10pct,hits_at_k_at_10pct
FraudAmazon,attr_dropout_25,attr_only,ExtraTrees,ok,,11944,9557648,25,6910,1729,821,637,184,0.8190007209777832,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__attr_only__ExtraTrees.json,0.9560609258477557,0.8819732218882936,184,153,0.8315217391304348,0.8315217391304348,1.0,17,17,1.0,0.09239130434782608,1.0,86,85,0.9883720930232558,0.46195652173913043,1.0,172,146,0.8488372093023255,0.7934782608695652,1.0
FraudAmazon,attr_dropout_25,attr_only,GradientBoosting,ok,,11944,9557648,25,6910,1729,821,637,184,1.8469996452331543,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__attr_only__GradientBoosting.json,0.9861931898128604,0.9275978983392638,184,160,0.8695652173913043,0.8695652173913043,1.0,17,17,1.0,0.09239130434782608,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,154,0.8953488372093024,0.8369565217391305,1.0
FraudAmazon,attr_dropout_25,attr_only,IsolationForest,ok,,11944,9557648,25,6910,1729,821,637,184,0.9909961223602295,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__attr_only__IsolationForest.json,0.8535000703531729,0.3603556367474442,184,75,0.4076086956521739,0.4076086956521739,1.0,17,7,0.4117647058823529,0.03804347826086957,1.0,86,42,0.4883720930232558,0.22826086956521738,1.0,172,72,0.4186046511627907,0.391304347826087,1.0
FraudAmazon,attr_dropout_25,attr_only,LogisticRegression,ok,,11944,9557648,25,6910,1729,821,637,184,0.09400105476379395,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__attr_only__LogisticRegression.json,0.9719255663430421,0.8809605118867535,184,155,0.842391304347826,0.842391304347826,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,148,0.8604651162790697,0.8043478260869565,1.0
FraudAmazon,attr_dropout_25,attr_only,RandomForest,ok,,11944,9557648,25,6910,1729,821,637,184,1.7130224704742432,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__attr_only__RandomForest.json,0.9759093147600957,0.9143078050565473,184,160,0.8695652173913043,0.8695652173913043,1.0,17,17,1.0,0.09239130434782608,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,153,0.8895348837209303,0.8315217391304348,1.0
FraudAmazon,attr_dropout_25,degree_only,ExtraTrees,ok,,11944,9557648,9,6910,1729,821,637,184,0.8490042686462402,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__degree_only__ExtraTrees.json,0.7793495849162796,0.3229874395535283,184,64,0.34782608695652173,0.34782608695652173,1.0,17,11,0.6470588235294118,0.059782608695652176,1.0,86,36,0.4186046511627907,0.1956521739130435,1.0,172,62,0.36046511627906974,0.33695652173913043,1.0
FraudAmazon,attr_dropout_25,degree_only,GradientBoosting,ok,,11944,9557648,9,6910,1729,821,637,184,3.8909993171691895,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__degree_only__GradientBoosting.json,0.815115379203602,0.3822110570806079,184,84,0.45652173913043476,0.45652173913043476,1.0,17,10,0.5882352941176471,0.05434782608695652,1.0,86,43,0.5,0.23369565217391305,1.0,172,79,0.45930232558139533,0.42934782608695654,1.0
FraudAmazon,attr_dropout_25,degree_only,IsolationForest,ok,,11944,9557648,9,6910,1729,821,637,184,0.7859997749328613,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__degree_only__IsolationForest.json,0.6184079076966371,0.15519592216115596,184,37,0.20108695652173914,0.20108695652173914,1.0,17,1,0.058823529411764705,0.005434782608695652,1.0,86,14,0.16279069767441862,0.07608695652173914,1.0,172,36,0.20930232558139536,0.1956521739130435,1.0
FraudAmazon,attr_dropout_25,degree_only,LogisticRegression,ok,,11944,9557648,9,6910,1729,821,637,184,0.0429995059967041,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__degree_only__LogisticRegression.json,0.7932074011537921,0.3137730101236715,184,72,0.391304347826087,0.391304347826087,1.0,17,7,0.4117647058823529,0.03804347826086957,1.0,86,36,0.4186046511627907,0.1956521739130435,1.0,172,68,0.3953488372093023,0.3695652173913043,1.0
FraudAmazon,attr_dropout_25,degree_only,RandomForest,ok,,11944,9557648,9,6910,1729,821,637,184,2.0139973163604736,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__degree_only__RandomForest.json,0.7686822850710567,0.326182353114075,184,66,0.358695652173913,0.358695652173913,1.0,17,11,0.6470588235294118,0.059782608695652176,1.0,86,40,0.46511627906976744,0.21739130434782608,1.0,172,65,0.37790697674418605,0.3532608695652174,1.0
